Restaurants Type,id,name,city,avgRating,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,locality,unserviceable,Vegetarian
Fine,37933,Faasos - Wraps & Rolls,Ahmedabad,4.2,"['Combo','Snacks','Beverages','Desserts','Indian']",200,44,44,44,HOTEL SHAHI PALACE,False,False
Fine,81814,Burger King,Ahmedabad,4.2,"['American','Fast,Food']",350,33,33,33,3rd Eye II Ellis Bridge CG Road,False,False
Fine,107046,Mahalaxmi Pav Bhaji,Ahmedabad,4.3,"['North,Indian']",200,28,28,28,C G Road,False,True
Fine,328315,HIIT Meals,Ahmedabad,0.0,"['Fast,Food','Combo','Snacks','North,Indian','Street,Food','Beverages','Desserts']",150,51,51,51,Vasna,False,False
Fine,108879,Jay Jalaram Parotha House,Ahmedabad,3.9,"['North,Indian']",250,29,29,29,Ashram Road,False,True
Fine,140314,Jalaram Parotha House,Ahmedabad,3.9,"['North,Indian','Gujarati']",450,28,28,28,Paldi,False,True
Fine,270210,Cake Dengo Cake Shop,Ahmedabad,4.1,['Desserts'],500,50,50,50,Gurukul rod,False,False
Fine,47788,The Westend Hotel (Mayflower),Ahmedabad,4.4,"['Indian','Chinese']",450,27,27,27,Ellisbridge,False,False
Fine,58425,Modi Sandwich And Pizza-Paldi,Ahmedabad,3.9,"['Fast,Food','Beverages']",250,33,33,33,Paldi,False,True
Fine,180360,Sugarless Life,Ahmedabad,4.2,"['Desserts','Sweets','Combo','Italian','Pizzas','Snacks']",250,36,36,36,Navrangpura,False,False
Fine,99297,Pickmeal,Ahmedabad,4.2,['Indian'],500,28,28,28,Ellisbridge,False,False
Fine,52712,Decent Restaurant,Ahmedabad,0.0,"['North,Indian','Chinese']",650,36,36,36,Navrangpura,False,False
Fine,40844,Hocco Eatery,Ahmedabad,4.4,"['North,Indian','Pizzas']",400,29,29,29,Panchvati,False,True
Fine,395939,KFC,Ahmedabad,4.2,"['American','Fast,Food','Snacks']",400,37,37,37,Panchwati Cross,False,False
Fine,59439,Vadilal Scoop shop,Ahmedabad,4.4,"['Ice,Cream','Desserts']",300,24,24,24,Ellis Bridge,False,False
Fine,252004,Om Food Center - Vastrapur Lake,Ahmedabad,4.1,"['Indian','North,Indian','Punjabi','Gujarati','Thalis','Combo']",200,44,44,44,Vastrapur,False,False
Fine,53268,Alpine Restaurant & Banquet,Ahmedabad,0.0,"['Indian','Chinese']",800,32,32,32,Ellis Bridge,False,True
Fine,63469,Udupi Shree Darshini Restaurant,Ahmedabad,4.4,"['South,Indian']",300,28,28,28,Ellis Bridge,False,True
Fine,37733,Sweet Truth - Cake and Desserts,Ahmedabad,4.2,"['Ice,Cream','Bakery','Desserts','Beverages']",450,44,44,44,HOTEL SHAHI PALACE,False,False
Fine,390395,Radhanand Restaurant,Ahmedabad,0.0,"['Chinese','Punjabi','Rajasthani']",200,34,34,34,Paldi & Ambawadi,False,False
Fine,79269,M.M.Parotha House,Ahmedabad,3.7,"['Indian','Chinese','Fast,Food']",200,27,27,27,Ellisbridge Ahmedabad,False,True
Fine,54309,Ristretto Behind The Rods,Ahmedabad,4.0,"['Continental','Pizzas','Chinese','North,Indian','Desserts','Punjabi','Indian','Healthy,Food','Pastas','Beverages']",700,40,40,40,Navrangpura,False,False
Fine,432316,Jay Ambe Fast Food and Restaurant,Ahmedabad,0.0,"['Fast,Food','Thalis']",250,35,35,35,Paldi & Ambawadi,False,True
Fine,55065,Hotel The Lotus Park,Ahmedabad,4.0,"['North,Indian','Chinese','Beverages','Biryani','Continental','Desserts','Fast,Food','Snacks','Italian','Indian','Thalis']",250,31,31,31,Paldi,False,True
Fine,328563,Pick Up Meals by Terra,Ahmedabad,4.2,"['Healthy,Food','Salads','Combo','Lebanese','Mediterranean','Mexican','Pizzas','Juices','Beverages']",250,49,49,49,Vasna,False,False
Fine,37689,McDonald's,Ahmedabad,4.3,"['American','Fast,Food']",400,29,29,29,CG Road,False,False
Fine,147639,429 Restaurant,Ahmedabad,3.9,"['North,Indian','Chinese','Mughlai']",300,32,32,32,Ellis Bridge,False,False
Fine,54871,9834 The Fruit Truck,Ahmedabad,4.5,"['Juices','Beverages','Desserts','Healthy,Food']",300,40,40,40,Satellite,False,True
